,County,Count,X,Y,OBJECTID,PPIN,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe,white_percentage
0,Acadia Parish,5,-92.369765,30.225854,8801,2028727,809 E NORTHERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.225854,-92.369765,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22001960801,22001,57674,45230,9511,248,95,0,157,2433,44977,,374,508,296,62,33,156,586,2841,0.7842355307417553
1,Allen Parish,1,-92.71423,30.518285,8803,A1101131,152 INDIAN CHURCH RD,ELTON,LA,70532,22,22003,Allen Parish,43,30.518285,-92.71423,N,N,N,N,N,N,N,2204,22032,22028,2021-2022,22003950502,22003,22798,16916,4052,395,164,0,269,1002,52755,,325,193,111,28,26,111,349,6411,0.7419949118343714
2,Androscoggin County,1,-93.29455,32.641564,9077,541061,1674 COUNTRY CLUB CIR,MINDEN,LA,71055,22,22119,Webster Parish,41,32.641564,-93.29455,33380,"Minden, LA",2,508,"Shreveport-Bossier City-Minden, LA",N,N,2204,22010,22036,2021-2022,23001030200,23001,111532,100100,4863,78,1141,18,456,4876,64500,,357,414,88,240,27,195,565,2165,0.8975002689810996
3,Ascension Parish,4,-92.36762,30.221626,8802,A0701071,910 N EASTERN AVE,CROWLEY,LA,70526,22,22001,Acadia Parish,32,30.221626,-92.36762,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22042,22025,2021-2022,22005031001,22005,126973,85412,29074,305,1525,97,4679,5881,93800,,514,843,138,294,123,596,1005,3514,0.6726784434486072
4,Assumption Parish,1,-90.904433,30.208293,8807,A2101871,2807 S HODGESON AVE,GONZALES,LA,70737,22,22005,Ascension Parish,21,30.208293,-90.904433,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22058,22018,2021-2022,22007050300,22007,21067,13836,6091,98,88,0,16,938,47023,,169,194,41,114,26,27,220,3781,0.6567617600987327
5,Avoyelles Parish,3,-91.983495,30.965052,8812,Y0538795,3406 HWY 107 S,PLAUCHEVILLE,LA,71362,22,22009,Avoyelles Parish,42,30.965052,-91.983495,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22009030702,22009,39529,25755,10126,315,251,12,295,2775,38696,,268,581,131,39,17,167,684,5175,0.651546965518986
6,Beauregard Parish,1,-92.054809,30.987003,8811,538955,850 FRONT ST,COTTONPORT,LA,71327,22,22009,Avoyelles Parish,32,30.987003,-92.054809,N,N,N,N,N,N,N,2205,22028,22028,2021-2022,22011960500,22011,36553,29563,4267,60,247,13,470,1933,68525,,299,222,38,36,32,212,340,6225,0.8087708259240007
7,Caddo Parish,11,-93.750551,32.49737,8814,538718,947 JORDAN ST,SHREVEPORT,LA,71101,22,22017,Caddo Parish,12,32.49737,-93.750551,43340,"Shreveport-Bossier City, LA",1,508,"Shreveport-Bossier City-Minden, LA",N,N,2204,22002,22039,2021-2022,22017021000,22017,236259,105210,116373,689,3012,152,2277,8546,47572,,662,866,215,252,33,486,1159,2032,0.44531636890023235
8,Calcasieu Parish,6,-93.204431,30.20804,8832,1922942,2510 ENTERPRISE BLVD,LAKE CHARLES,LA,70601,22,22019,Calcasieu Parish,13,30.20804,-93.204431,29340,"Lake Charles, LA",1,324,"Lake Charles-Jennings, LA",N,N,2203,22034,22027,2021-2022,22019002204,22019,210770,143271,51821,482,3113,60,2715,9308,64370,,944,920,228,256,70,817,1154,3249,0.6797504388670115
9,Caldwell Parish,1,-92.183392,32.014595,8836,A0901597,1468 HWY 547,CLARKS,LA,71415,22,22021,Caldwell Parish,43,32.014595,-92.183392,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22021000300,22021,9658,7453,1957,0,7,0,57,184,45707,,84,125,20,10,20,79,106,7075,0.7716918616690827
10,Catahoula Parish,1,-91.883861,31.68039,8837,BB161172,1676 HWY 126,JONESVILLE,LA,71343,22,22025,Catahoula Parish,43,31.68039,-91.883861,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22025000300,22025,8895,5938,2813,10,7,0,38,89,48259,,57,105,20,11,20,38,76,6502,0.667566048341765
11,Claiborne Parish,2,-93.080545,32.863091,8838,542371,6741 HWY 79,HAYNESVILLE,LA,71038,22,22027,Claiborne Parish,42,32.863091,-93.080545,N,N,N,N,N,N,N,2204,22011,22033,2021-2022,22027950201,22027,14203,6479,7051,2,19,0,169,483,32034,,46,182,6,29,22,88,187,1616,0.45617123142997956
12,East Baton Rouge Parish,31,-91.155581,30.44106,8878,Y0539347,855 HEARTHSTONE DR,BATON ROUGE,LA,70806,22,22033,East Baton Rouge Parish,12,30.44106,-91.155581,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22061,22016,2021-2022,22033004514,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760,0.4469583092156375
13,East Feliciana Parish,2,-91.009374,30.360568,8877,BB181291,14965 AIRLINE HWY,BATON ROUGE,LA,70817,22,22033,East Baton Rouge Parish,21,30.360568,-91.009374,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22066,22006,2021-2022,22037951600,22037,19452,10650,7796,152,58,0,12,784,64709,,69,215,142,22,22,21,205,7398,0.5475015422578655
14,Evangeline Parish,1,-91.020021,30.85885,8880,540749,10830 BANK ST,CLINTON,LA,70722,22,22037,East Feliciana Parish,42,30.85885,-91.020021,12940,"Baton Rouge, LA",1,N,N,N,N,2205,22062,22017,2021-2022,22039950600,22039,32335,21415,8193,98,85,20,894,1630,34526,,440,403,76,58,32,442,418,3582,0.6622854492036493
15,Iberia Parish,4,-91.773791,29.96449,8888,2160197,4219 E ADMIRAL DOYLE DR,NEW IBERIA,LA,70560,22,22045,Iberia Parish,21,29.96449,-91.773791,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22049,22022,2021-2022,22045030700,22045,69958,41089,21827,119,1858,1,1121,3943,55190,,429,663,125,115,3,426,783,2319,0.5873381171560079
16,Iberville Parish,2,-91.800126,30.00929,8889,A9701658,708 ANGERS ST,NEW IBERIA,LA,70563,22,22045,Iberia Parish,21,30.00929,-91.800126,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22048,22022,2021-2022,22047953101,22047,30210,14575,13717,22,11,29,305,1551,59410,,296,518,19,20,51,223,559,6240,0.4824561403508772
17,Jefferson Davis Parish,1,-90.103781,29.89333,8928,Y0538208,1000 SALESIAN LN,MARRERO,LA,70072,22,22051,Jefferson Parish,21,29.89333,-90.103781,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22003,2021-2022,22053000500,22053,32277,25034,5404,107,2,0,265,1465,52470,,236,254,107,3,30,139,426,5233,0.7755987235492766
18,Jefferson Parish,26,-90.098571,29.8962,8915,A0501719,812 AVE F,MARRERO,LA,70072,22,22051,Jefferson Parish,21,29.8962,-90.098571,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22008,2021-2022,22051021200,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592,0.5627838622925412
19,LaSalle Parish,1,-90.811261,29.79219,8950,X0540476,555 CARDINAL DR,THIBODAUX,LA,70301,22,22057,Lafourche Parish,13,29.79219,-90.811261,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2206,22055,22021,2021-2022,22059970200,22059,14764,12166,1732,58,278,82,78,370,59926,,138,268,59,225,61,91,156,9117,0.8240314277973448
20,Lafayette Parish,14,-91.965921,30.14924,8930,539722,302 W MAIN ST,BROUSSARD,LA,70518,22,22055,Lafayette Parish,21,30.14924,-91.965921,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22043,22023,2021-2022,22055000800,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192,0.6592865220520201
21,Lafourche Parish,2,-90.802886,29.776776,8949,A1902145,806 N ACADIA RD,THIBODAUX,LA,70301,22,22057,Lafourche Parish,13,29.776776,-90.802886,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2206,22055,22020,2021-2022,22057021902,22057,97220,75654,12950,2046,604,2,1067,4897,61381,,445,658,366,163,4,371,712,4953,0.7781732153877803
22,Lincoln Parish,1,-92.619305,32.555142,8952,540636,2400 CEDAR CREEK DR,RUSTON,LA,71270,22,22061,Lincoln Parish,32,32.555142,-92.619305,40820,"Ruston, LA",2,384,"Monroe-Ruston, LA",N,N,2205,22012,22035,2021-2022,22061960800,22061,48323,26152,18095,263,670,32,625,2486,37001,,374,581,206,76,46,383,605,3309,0.5411915650932269
23,Livingston Parish,2,-92.646351,32.54109,8954,K9302553,700 WOODWARD AVE,RUSTON,LA,71270,22,22061,Lincoln Parish,32,32.54109,-92.646351,40820,"Ruston, LA",2,384,"Monroe-Ruston, LA",N,N,2205,22012,22035,2021-2022,22063040805,22063,143425,123496,10684,449,1185,1,2167,5443,77978,,828,595,415,183,2,725,1092,4335,0.8610493289175527
24,Madison Parish,1,-91.878551,32.779935,8958,541607,9942 EDWIN ST,BASTROP,LA,71220,22,22067,Morehouse Parish,41,32.779935,-91.878551,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22016,22033,2021-2022,22065960100,22065,10028,3439,6265,17,0,0,59,248,34508,,54,55,16,22,22,72,105,6612,0.3429397686477862
25,Natchitoches Parish,1,-91.179975,32.398182,8957,2160233,700 WOOD ST,TALLULAH,LA,71282,22,22065,Madison Parish,33,32.398182,-91.179975,N,N,N,N,N,N,N,2205,22019,22034,2021-2022,22069000500,22069,37478,19170,15269,281,238,0,1042,1478,41310,,315,260,74,84,30,294,339,2062,0.5115000800469609
26,Orleans Parish,27,-90.101201,29.92105,8971,540603,923 NAPOLEON AVE,NEW ORLEANS,LA,70115,22,22071,Orleans Parish,11,29.92105,-90.101201,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22091,22005,2021-2022,22071001755,22071,380408,123390,216866,818,10680,61,8407,20186,51116,,880,1373,226,275,38,1192,1424,1705,0.32436226367479126
27,Ouachita Parish,7,-92.106541,32.53782,9007,A0103844,2401 OLIVER RD,MONROE,LA,71201,22,22073,Ouachita Parish,13,32.53782,-92.106541,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22014,22035,2021-2022,22073001700,22073,159585,91697,59511,266,1854,19,2168,4070,49261,,774,683,177,142,12,461,919,2573,0.5745966099570762
28,Plaquemines Parish,1,-92.084487,32.534964,9011,X0538842,3300 WESTMINISTER AVE,MONROE,LA,71201,22,22073,Ouachita Parish,13,32.534964,-92.084487,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22014,22034,2021-2022,22075050202,22075,23305,14918,4945,285,996,23,375,1763,77996,,287,461,138,63,38,213,569,3933,0.6401201458914396
29,Rapides Parish,4,-92.497171,31.33336,9018,A9102980,4209 N BOLTON AVE,ALEXANDRIA,LA,71303,22,22079,Rapides Parish,13,31.33336,-92.497171,10780,"Alexandria, LA",1,N,N,N,N,2205,22026,22029,2021-2022,22079012301,22079,129536,80405,40339,604,1538,15,1301,5334,55407,,444,555,174,262,16,373,723,2017,0.6207154767786561
30,St. Bernard Parish,1,-93.429381,32.16381,9021,542382,100 RIVERDALE RD,COUSHATTA,LA,71019,22,22081,Red River Parish,42,32.16381,-93.429381,N,N,N,N,N,N,N,2204,22022,22031,2021-2022,22087030700,22087,44038,28618,10499,327,1076,0,563,2955,55857,,471,239,95,58,30,224,471,3072,0.6498478586675144
31,St. Charles Parish,1,-89.966779,29.94063,9022,538004,2305 FENELON ST,CHALMETTE,LA,70043,22,22087,St. Bernard Parish,21,29.94063,-89.966779,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22103,22003,2021-2022,22089062302,22089,52191,34653,12273,525,492,3,1856,2389,79191,,407,555,291,132,10,516,578,6237,0.6639650514456515
32,St. James Parish,1,-90.712821,30.02793,9024,539176,2590 LA 44,PAULINA,LA,70763,22,22093,St. James Parish,31,30.02793,-90.712821,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22058,22018,2021-2022,22093040300,22093,20090,9938,9732,26,5,46,163,180,62946,,102,118,48,10,94,176,148,9793,0.49467396714783474
33,St. John the Baptist Parish,2,-90.499225,30.068129,9025,538241,412 FIR ST,LA PLACE,LA,70068,22,22095,St. John the Baptist Parish,21,30.068129,-90.499225,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22057,22019,2021-2022,22095070700,22095,41986,13830,23616,158,387,1,1745,2249,65114,,435,549,131,167,2,598,569,5713,0.3293955127899776
34,St. Landry Parish,4,-92.076921,30.54352,9031,540261,428 E PRUDHOMME ST,OPELOUSAS,LA,70570,22,22097,St. Landry Parish,31,30.54352,-92.076921,36660,"Opelousas, LA",2,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2205,22040,22024,2021-2022,22097960601,22097,82574,44705,33617,106,459,176,894,2617,44478,,308,470,74,40,200,416,450,2152,0.5413931746070192
35,St. Martin Parish,1,-91.834536,30.089375,9036,A0990063,7084 CEMETARY HWY,SAINT MARTINVILLE,LA,70582,22,22099,St. Martin Parish,41,30.089375,-91.834536,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22046,22022,2021-2022,22099020800,22099,51856,34230,14903,135,493,74,177,1844,50806,,345,309,99,38,113,121,415,2405,0.660097192224622
36,St. Mary Parish,2,-91.878461,30.30949,9037,A1592086,1545 ANSE BROUSSARD HWY,BREAUX BRIDGE,LA,70517,22,22099,St. Martin Parish,41,30.30949,-91.878461,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22046,22022,2021-2022,22101041500,22101,49114,28427,14554,762,625,13,1623,3110,47322,,323,517,91,95,22,379,626,2292,0.5787962699026754
37,St. Tammany Parish,11,-90.098549,30.47424,9041,538343,122 S MASSACHUSETTS ST,COVINGTON,LA,70433,22,22103,St. Tammany Parish,23,30.47424,-90.098549,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22077,22011,2021-2022,22103040602,22103,266168,207322,32362,2053,3821,689,3302,16619,76914,,1195,1000,649,421,572,1043,1521,2541,0.7789140693096089
38,Tangipahoa Parish,4,-90.519313,30.734012,9058,541527,600 WALNUT ST,AMITE,LA,70422,22,22105,Tangipahoa Parish,31,30.734012,-90.519313,25220,"Hammond, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2205,22072,22012,2021-2022,22105953901,22105,133953,85044,39939,124,954,43,1157,6692,55274,,849,759,70,180,70,417,1083,2869,0.6348793979978052
39,Tensas Parish,1,-90.460571,30.54409,9062,A9103005,47342 N CHERRY ST,HAMMOND,LA,70401,22,22105,Tangipahoa Parish,23,30.54409,-90.460571,25220,"Hammond, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22072,22012,2021-2022,22107000300,22107,4127,1726,2168,0,34,0,103,96,35653,,22,102,14,53,14,80,68,4539,0.4182214683789678
40,Terrebonne Parish,4,-90.723491,29.59506,9065,540385,300 VERRET ST,HOUMA,LA,70360,22,22109,Terrebonne Parish,13,29.59506,-90.723491,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2201,22052,22020,2021-2022,22109000902,22109,108862,73482,20784,5950,1301,24,1259,6062,63088,,666,620,433,67,41,327,867,3476,0.6750013778912752
41,Vermilion Parish,2,-90.748201,29.60256,9071,X0540487,209 S HOLLYWOOD RD,HOUMA,LA,70360,22,22109,Terrebonne Parish,22,29.60256,-90.748201,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2206,22052,22021,2021-2022,22113950903,22113,57202,45074,7718,89,1026,127,356,2812,56194,,514,404,80,112,150,176,564,3429,0.787979441278277
42,Washington Parish,2,-90.157033,30.838519,9075,542462,700 VARNADO ST,FRANKLINTON,LA,70438,22,22117,Washington Parish,32,30.838519,-90.157033,14220,"Bogalusa, LA",2,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2205,22075,22012,2021-2022,22117950502,22117,45514,29963,13814,115,51,0,228,1343,41803,,418,268,45,82,30,331,520,3193,0.6583249110163906
43,Webster Parish,1,-89.897218,30.738974,9076,2160335,59253 MOUNT PLEASANT RD # 2,BOGALUSA,LA,70427,22,22117,Washington Parish,41,30.738974,-89.897218,14220,"Bogalusa, LA",2,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2205,22075,22012,2021-2022,22119031600,22119,36761,23275,12355,81,93,7,30,920,34263,,202,169,62,62,10,35,254,1859,0.6331438208971464
44,West Baton Rouge Parish,1,-91.254546,30.371085,9079,A1992163,6781 LA HWY 1 S,ADDIS,LA,70710,22,22121,West Baton Rouge Parish,21,30.371085,-91.254546,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22018,22002,2021-2022,22121020401,22121,27377,15247,11289,0,129,0,357,355,80510,,224,209,26,148,26,211,174,7340,0.5569273477736786
